Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Flatfish nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,389,272,140,50,3,19,98,131,140,189,406,108,3432,975,1619,3589,2195,71,428,905,5285,12146,17503,17404,19487,21992,21014,18976.47
China,"Flatfish, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1139,710,556,587,364,197,118,73,121,168,27,13,7,7,9,2,1,2,0,5,0,0,0,0,1,4,3,3.78
China,"Freshwater fish nei, live",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544,703,673,456,486,132,37,962,949,1190,1332,991,944,1237,1126,1107,1105,1120.58
China,"Gadiformes excl. Alaska pollock, meat, whether or not minced, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3781,3536,2354,2882,3535,6697,8617,9917.29
China,"Gadiformes fillets, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13.63
China,"Gadiformes fillets, frozen, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20048,14130,14994,12996,16547,16259,14874,11875.43
China,"Gadiformes nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082,1090,1851,1686,1402,1858,842,216.34
China,"Gadiformes, dried, whether or not salted, but not smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,372,479.32
China,"Gadiformes, fillets, dried, salted or in brine, not smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31167,39557,37584,32942,34159,38310,34568,29132.85
China,"Gadiformes, meat, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
China,"Greenland halibut, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,504,1199,1193,696,1849,3279,4031,5604,5087,4036,3462,4871,4258,4670.71
China,"Haddock fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33440,30213,24862,20219,27684,29834,28125,26012.52
China,"Haddock, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,6,0,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Haddock, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,20,12,96,2,7,0,75,13,0,0,0,0,11,0,0,0,13,2,0,0,364,38,109,0,27,0,0
China,"Hairtails, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,229,2837,2658,1688,598,306,52,182,489,1158,1029,189,150,109,80,154,95,68,117.92
China,"Hairtails, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13643,24965,28679,22239,24849,23100,23013,24637,13877,19564,18181,15375,13579,10138,13169,9441,9817,6428,5170,5390.26
China,"Hake nei fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6560,7946,9918,13214,11898,16857,16865,15753.04
China,"Hakes nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,30,0,0,0,0,12,24,2,0,0,0,14,215,42,6,133,30,385,609,24,0,123,2728,2303,3598,3293,3564,1137.17
China,"Halibuts nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,10,16,0,0,0,0,4,6,130,122,200,310,73,143,5,82,12,0,2,92,687,1116,303,373,698.91
China,"Halibuts, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Herring nei, fillets, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721,604,740,458,617,665,664,584.54
China,"Herring roes, cured",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,263,50,20,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Herring, salted or in brine",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,1,0,0,0,0,21,437,180,135,38,0,15,36,137,0,0,5,0,0,0,0,0,0,0,0,0,13.31
China,"Herring,achovy,sardine,sardinella,brisling/sprat,mackerel,Indian mackerel,seerfish,jack&horse mackerel,jack,crevalle,cobia,silver pomfret,Pacif.saury,scad,capelin,etc,dried,salted or not,not smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,3691,2580.44
China,"Herrings nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,108,265,46,10,100,0,24,59,172,398,323,1426,2103,724,1876,2294,2013,5036,72492,86412,97557,72798,55808,33497,77590,82993,63262.99
China,"Herrings nei, smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,272,96,147,0,14,51,16,57,66,3,0,0,0,0,0,0,0,51.55
China,"Herrings prepared or preserved, not minced, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,95,68,108,61,50,88,40,13,0,159,127,549,570,2011,2640,2405,1642,1643,1862,1707,2365,1770,2000,1782,1756,1642,1414,1590.67
China,"Herrings, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,29,15,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,151,77.59
China,"Jack and horse mackerel, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1039,1259,628,12870,8806,2507,2169.45
China,"Jack and horse mackerels, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35
China,Jellyfish preparations,Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,8177,10456,10180,10200,4909,3746,3842,3867,4078,3830,3266,2980,1832,2338,1497,1523,1736,1427,2277,1719,1350,1205,972,1101,1096,1206,762,1151.81
China,"Jellyfish, dried, salted or in brine, smoked",Exports,Tonnes - net product weight,Tonnes - net product weight,1825,2838,2872,2279,2651,2465,2425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Jellyfish, other than live, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6477,7190,5246,4802,6835,6137,6317,5357.04
China,"Livers, roes, milt, dried, salted or in brine, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1052,888,977,1781,4484,4870,3956,3110,3642,2786,3249,4484,6944,7084,7106,5293,5542,5476,7386,6862,6850,6549,6898,6355,6192,7252,7367,6325.14
China,"Livers, roes, milt, fresh or chilled, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1005,52,617,1153,646,1889,139,159,508,565,1446,834,1074,973,1234,1253,891,1076,1044,870,1108,885,874,945,1240,1166,1205,991.37
China,"Livers, roes, milt, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,866,1351,1340,5446,9187,7981,4357,8883,4705,4414,3929,3223,3248,2645,3024,3438,3174,2615,1652,2018,2322,2135,2184,1324,1150,1333,1309,1163.52
China,"Lobster tails or meat, prep. or pres.",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,41,67,501,1439,2238,2803,1436,689,1189,48,58,26,59,1404,202,276,127,7,17,24,74,368,68,39,38,33,0,208.58
China,"Mackerel prepared or preserved, not minced, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1864,2680,2108,1316,1124,639,1216,933,4713,7087,10088,11327,16355,19526,19082,22196,20712,22087,29949,64862,57568,58386,62631,76359,68906,76248,69436,86379.88
China,"Mackerels nei, frozen",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,452,767,1426,3014,3588,5027,6587,6536,5187,12873,26491,30878,30814,11478,20847,13698,32310,62407,85007,126452,178761,152997,161317,166218,262428,322173,287909,285195.81
China,"Mackerels, nei, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,21,12,23,61,192,0,0,1,492,30,474,486,28,172,0,0,0,70,0,5,0,0,0,0,56,0,0,0.92
China,"Marine mammal oils, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,21,26,0,8,0,0,1,0,71,3,0,0,0,0,0,0,0,125,22,75,20,0,1,0,0,20,46,0
China,"Meat of tilapias, catfish, carp, eels, nile perch and snakeheads, fresh or chilled",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4261,5182,6404,6815,6583,5923,5565,5324.38
China,"Miscellaneous coastal fish, dried, whether or not salted",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Miscellaneous coastal fish, salted or in brine, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,40,50,41,65,55,129,30,0,2,1,18,0,20,19,37,39,39,16.18
China,"Miscellaneous crustaceans, not frozen, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,687,749,677,562,684,421,635,977,1219,1042,1493,1103,892,1319,1320,774,312,375,258803,134453,102,432,329,434,272,0,0,0
China,"Miscellaneous demersal fish, salted or in brine, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,2,2,20,5,33,52,33,7,13,14,16,43,43,40,49,23,38,50,13.58
China,"Miscellaneous freshwater fish nei, salted and in brine",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,"Miscellaneous freshwater fish, prepared or preserved, not minced, nei",Exports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5944,18892,7928,2081,652,198,1124,782,372,39,1745,3438,4412.89
