Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), frozen, even smoked, whether in shell or not",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524,6304,8051,5157,5850,2120,6594,1964.32
China,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), live, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,22.44
China,"Cold-water shrimps and prawns (Pandalus spp., Crangon crangon), not frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,7,15,11,0,0,0
China,"Cold-water shrimps and prawns Pandalus spp, in shell or not, live, fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
China,"Common sole (Solea Solea), fresh or chilled",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1.1
China,"Common sole (Solea Solea), frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,431,35,149,578,2568,471,109,468,1010,911,1616,1582,1992,1726,3201,4730,7424,6931,5551,5003,2180,3736,3723,1907,839,1620,2042,2740.49
China,"Crab meat nei, prepared or preserved",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,68,34,178,157,195,372,339,149,17,8,549,2550,2242,1368,1989,3319,2516,734,2024,2396,401,504,191,861,1748,1823,1098,940.75
China,"Crabs nei, frozen",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,1516,9228,8296,8195,8712,10893,8284,13435,16810,17105,13856,17028,18574,22297,26237,32303,32559,31989,26774,24189,22689,31029,24031,22619,20706,24654,28217,22436,16964.12
China,"Crabs, dried, salted or in brine, smoked, nei",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
China,"Crabs, live",Imports,Tonnes - net product weight,Tonnes - net product weight,0,0,1,0,15,8,13,14,17,30,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
