Country (Name),Name1,Name,Fishing_area,Production_source,Unit (Name),[1950],[1951],[1952],[1953],[1954],[1955],[1956],[1957],[1958],[1959],[1960],[1961],[1962],[1963],[1964],[1965],[1966],[1967],[1968],[1969],[1970],[1971],[1972],[1973],[1974],[1975],[1976],[1977],[1978],[1979],[1980],[1981],[1982],[1983],[1984],[1985],[1986],[1987],[1988],[1989],[1990],[1991],[1992],[1993],[1994],[1995],[1996],[1997],[1998],[1999],[2000],[2001],[2002],[2003],[2004],[2005],[2006],[2007],[2008],[2009],[2010],[2011],[2012],[2013],[2014],[2015],[2016],[2017],[2018],[2019]
China,"Croakers, drums nei","Croakers, drums nei","Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107176,0,0,0,0,0,0,0,265117,278776,287804,320261,285382,302757,314061,320516,367818,377071,362696,372480,373575,354804,332610,297321,282696
China,Southern rough shrimp,Southern rough shrimp,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12184,10893,14638,3417,12549,23583,26202,84649,139156,108032,139101,73737,97547,91372,100664,120000,167165,151746,163060,161705,155651,347625,268034,208340,198857,363508,251427,361245,339812,344978,312272,282554,290761,290517,305951,324450,319045,366120,312307,283310,245035,240249
China,Blood cockle,Blood cockle,"Pacific, Northwest",Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,3,10,31,50,79,119,246,353,457,594,873,1402,2194,2956,2515,2576,3262,4093,11095,12292,9216,10899,11377,13691,15067,20124,22526,32634,45071,45881,52373,55782,56742,56144,75019,97127,124527,131858,121389,142694,167666,175727,203987,208181,278278,282808,265673,277768,279510,290177,273547,301213,279475,266452,322422,337743,348964,354391,352619,372303,387676
China,Silver pomfrets nei,Silver pomfrets nei,"Pacific, Northwest",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31122,43192,42773,42470,56730,45828,55475,66741,71374,91250,64141,70743,83005,94975,73208,116553,138335,209031,220364,224163,268572,293097,290692,300728,328670,315314,328102,349793,359393,342747,372042,373145,364776,358461,341304,326141,329936,346497,330376,329547,326015,326621
China,Asian swamp eel,Asian swamp eel,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108276,118698,140250,168699,196190,212129,233185,263297,276356,292319,314618,324751,333588,387730,358295,319000,313790
China,Pond loach,Pond loach,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59687,68558,95880,113243,131353,153257,173541,197326,219493,267678,292274,311270,332353,372587,394691,358418,356881
China,Jumbo flying squid,Jumbo flying squid,"Pacific, Southeast",Capture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17770,50483,81000,205600,86000,62000,46400,79064,70000,142000,250000,261000,264000,332523,323636,223300,296100,346200,331212
China,Yellow catfish,Yellow catfish,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47357,54445,72986,87709,114029,134448,160900,177771,205445,233743,268792,302671,322858,434425,480032,509610,536964
China,Largemouth black bass,Largemouth black bass,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109173,118163,139108,143323,157487,166601,171638,179372,196896,221490,308944,319110,320459,347259,456888,432058,477808
China,Chinese softshell turtle,Chinese softshell turtle,Asia - Inland waters,Aquaculture production,Tonnes - live weight,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,17445,32004,41410,55514,67520,80466,98916,100712,124240,140948,157607,168765,190469,204139,226481,256334,270180,301843,312488,309599,310028,331694,322102,319081,325497
